      6001
9.900000 -0.027254 0.227178
9.933333 -0.019682 0.235096
9.966667 -0.011845 0.240085
10.000000 -0.003842 0.242080
10.033333 0.004227 0.240359
10.066667 0.012239 0.235651
10.100000 0.020094 0.228022
10.133333 0.027695 0.217575
10.166667 0.034947 0.204451
10.200000 0.041762 0.188830
10.233333 0.048057 0.170931
10.266667 0.053754 0.151011
10.300000 0.058788 0.129364
10.333333 0.063100 0.106318
10.366667 0.066644 0.082225
10.400000 0.069385 0.057457
10.433333 0.071300 0.032393
10.466667 0.072380 0.007408
10.500000 0.072627 -0.017141
10.533333 0.072055 -0.040922
10.566667 0.070691 -0.063645
10.600000 0.068570 -0.085063
10.633333 0.065734 -0.104979
10.666667 0.062235 -0.123247
10.700000 0.058127 -0.139769
10.733333 0.053468 -0.154488
10.766667 0.048318 -0.167385
10.800000 0.042739 -0.178467
10.833333 0.036790 -0.187760
10.866667 0.030531 -0.195302
10.900000 0.024021 -0.201132
10.933333 0.017317 -0.205289
10.966667 0.010474 -0.207804
11.000000 0.003547 -0.208695
11.033333 -0.003409 -0.207969
11.066667 -0.010342 -0.205618
11.100000 -0.017196 -0.201619
11.133333 -0.023916 -0.195938
11.166667 -0.030448 -0.188534
11.200000 -0.036732 -0.179361
11.233333 -0.042711 -0.168375
11.266667 -0.048323 -0.155542
11.300000 -0.053508 -0.140849
11.333333 -0.058203 -0.124308
11.366667 -0.062347 -0.105968
11.400000 -0.065879 -0.085923
11.433333 -0.068743 -0.064319
11.466667 -0.070887 -0.041353
11.500000 -0.072265 -0.017281
11.533333 -0.072841 0.007594
11.566667 -0.072588 0.032927
11.600000 -0.071491 0.058337
11.633333 -0.069546 0.083430
11.666667 -0.066765 0.107805
11.700000 -0.063172 0.131071
11.733333 -0.058803 0.152859
11.766667 -0.053707 0.172831
11.800000 -0.047946 0.190687
11.833333 -0.041590 0.206171
11.866667 -0.034718 0.219071
11.900000 -0.027415 0.229217
11.933333 -0.019775 0.236483
11.966667 -0.011892 0.240786
12.000000 -0.003866 0.242080
12.033333 0.004204 0.240358
12.066667 0.012215 0.235649
12.100000 0.020070 0.228018
12.133333 0.027671 0.217570
12.166667 0.034923 0.204445
12.200000 0.041738 0.188823
12.233333 0.048032 0.170923
12.266667 0.053730 0.151002
12.300000 0.058763 0.129355
12.333333 0.063075 0.106308
12.366667 0.066619 0.082215
12.400000 0.069359 0.057447
12.433333 0.071274 0.032383
12.466667 0.072353 0.007397
12.500000 0.072600 -0.017151
12.533333 0.072028 -0.040932
12.566667 0.070664 -0.063655
12.600000 0.068542 -0.085072
12.633333 0.065706 -0.104987
12.666667 0.062207 -0.123255
12.700000 0.058098 -0.139776
12.733333 0.053439 -0.154494
12.766667 0.048289 -0.167390
12.800000 0.042709 -0.178472
12.833333 0.036760 -0.187764
12.866667 0.030502 -0.195304
12.900000 0.023991 -0.201134
12.933333 0.017287 -0.205291
12.966667 0.010444 -0.207805
13.000000 0.003517 -0.208695
13.033333 -0.003439 -0.207969
13.066667 -0.010372 -0.205617
13.100000 -0.017226 -0.201617
13.133333 -0.023946 -0.195935
13.166667 -0.030477 -0.188531
13.200000 -0.036762 -0.179356
13.233333 -0.042740 -0.168369
13.266667 -0.048352 -0.155536
13.300000 -0.053537 -0.140843
13.333333 -0.058232 -0.124301
13.366667 -0.062375 -0.105960
13.400000 -0.065907 -0.085914
13.433333 -0.068771 -0.064309
13.466667 -0.070915 -0.041343
13.500000 -0.072293 -0.017270
13.533333 -0.072868 0.007605
13.566667 -0.072615 0.032938
13.600000 -0.071517 0.058348
13.633333 -0.069572 0.083441
13.666667 -0.066791 0.107815
13.700000 -0.063197 0.131081
13.733333 -0.058827 0.152868
13.766667 -0.053732 0.172839
13.800000 -0.047971 0.190694
13.833333 -0.041614 0.206178
13.866667 -0.034742 0.219076
13.900000 -0.027439 0.229220
13.933333 -0.019798 0.236486
13.966667 -0.011915 0.240787
14.000000 -0.003889 0.242080
14.033333 0.004180 0.240357
14.066667 0.012192 0.235646
14.100000 0.020047 0.228014
14.133333 0.027647 0.217565
14.166667 0.034900 0.204439
14.200000 0.041714 0.188816
14.233333 0.048008 0.170915
14.266667 0.053705 0.150993
14.300000 0.058738 0.129345
14.333333 0.063050 0.106298
14.366667 0.066593 0.082204
14.400000 0.069333 0.057436
14.433333 0.071248 0.032372
14.466667 0.072327 0.007387
14.500000 0.072573 -0.017162
14.533333 0.072001 -0.040942
14.566667 0.070636 -0.063664
14.600000 0.068514 -0.085081
14.633333 0.065678 -0.104996
14.666667 0.062178 -0.123262
14.700000 0.058069 -0.139782
14.733333 0.053410 -0.154500
14.766667 0.048260 -0.167396
14.800000 0.042680 -0.178476
14.833333 0.036731 -0.187767
14.866667 0.030472 -0.195307
14.900000 0.023962 -0.201136
14.933333 0.017257 -0.205292
14.966667 0.010414 -0.207805
15.000000 0.003487 -0.208695
15.033333 -0.003469 -0.207968
15.066667 -0.010401 -0.205615
15.100000 -0.017255 -0.201615
15.133333 -0.023976 -0.195933
15.166667 -0.030507 -0.188527
15.200000 -0.036791 -0.179352
15.233333 -0.042770 -0.168364
15.266667 -0.048382 -0.155530
15.300000 -0.053566 -0.140836
15.333333 -0.058261 -0.124293
15.366667 -0.062404 -0.105952
15.400000 -0.065935 -0.085905
15.433333 -0.068799 -0.064299
15.466667 -0.070942 -0.041333
15.500000 -0.072320 -0.017260
15.533333 -0.072895 0.007616
15.566667 -0.072641 0.032949
15.600000 -0.071543 0.058359
15.633333 -0.069598 0.083452
15.666667 -0.066816 0.107826
15.700000 -0.063222 0.131090
15.733333 -0.058852 0.152877
15.766667 -0.053756 0.172847
15.800000 -0.047995 0.190702
15.833333 -0.041638 0.206184
15.866667 -0.034765 0.219081
15.900000 -0.027463 0.229224
15.933333 -0.019822 0.236488
15.966667 -0.011939 0.240789
16.000000 -0.003913 0.242080
16.033333 0.004157 0.240355
16.066667 0.012169 0.235643
16.100000 0.020023 0.228010
16.133333 0.027624 0.217560
16.166667 0.034876 0.204433
16.200000 0.041690 0.188808
16.233333 0.047984 0.170906
16.266667 0.053681 0.150984
16.300000 0.058713 0.129335
16.333333 0.063025 0.106287
16.366667 0.066568 0.082193
16.400000 0.069307 0.057425
16.433333 0.071221 0.032361
16.466667 0.072300 0.007376
16.500000 0.072546 -0.017172
16.533333 0.071974 -0.040952
16.566667 0.070609 -0.063674
16.600000 0.068486 -0.085090
16.633333 0.065650 -0.105004
16.666667 0.062150 -0.123270
16.700000 0.058041 -0.139789
16.733333 0.053381 -0.154506
16.766667 0.048231 -0.167401
16.800000 0.042651 -0.178480
16.833333 0.036701 -0.187771
16.866667 0.030442 -0.195310
16.900000 0.023932 -0.201138
16.933333 0.017227 -0.205293
16.966667 0.010384 -0.207806
17.000000 0.003457 -0.208695
